Nested Sampling Global Log-Evidence           :   -0.518672762924002271E+02  +/-    0.108051169208146267E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.518672762924002271E+02 +/-    0.108051169208146267E+00
Local Log-Evidence   -0.518672762924002271E+02 +/-    0.108051169208146267E+00

Dim No.       Mean        Sigma
   1    0.163873925401553947E+03    0.933213092593999427E+01
   2   -0.661082997588369747E-01    0.316592761573279424E-01
   3    0.161514466377390892E+00    0.876777868562489751E-02
   4   -0.251763955835152542E+01    0.325989181057717070E+00
   5    0.218753061939803306E+01    0.874960645303752005E-01
   6   -0.146712856916122042E+00    0.104363985772747220E+00
   7   -0.104596402252778020E+01    0.281917719577007286E+00
   8    0.894608979394050652E-01    0.744246448618678391E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.155085712698998975E+03
   2   -0.999839243938640682E-01
   3    0.165151465029443306E+00
   4   -0.261176119573136578E+01
   5    0.207570184999737650E+01
   6   -0.816710051895341849E-02
   7   -0.976931023753742522E+00
   8    0.408394852353982651E-02

MAP Parameters
Dim No.        Parameter
   1    0.155085712698998975E+03
   2   -0.999839243938640682E-01
   3    0.165151465029443306E+00
   4   -0.261176119573136578E+01
   5    0.207570184999737650E+01
   6   -0.816710051895341849E-02
   7   -0.976931023753742522E+00
   8    0.408394852353982651E-02
