 F
       14103       24474           5        1024
   -0.492176864030419026E+02   -0.404821471537484641E+02
 T
   2
    0.200000000000000000E+01    0.300000000000000000E+01    0.949218750000000000E+00    0.507812500000000000E-01
   2
    0.400000000000000000E+01    0.500000000000000000E+01    0.190329218106995879E+00    0.809670781893004121E+00
   0
   0
   0
 T T     0           0
    0.000000000000000000E+00   -0.100000000000000002+101    0.000000000000000000E+00
 T T     1           0
    0.000000000000000000E+00   -0.100000000000000002+101    0.000000000000000000E+00
 T F     1          52
    0.430620132333306931E-04   -0.671644778510633529E+02   -0.603831654414292629E+02
 T F     2         185
    0.203909724353983945E-05   -0.535959981256597686E+02   -0.451885538497100896E+02
 T F     2         787
    0.108597541024266225E-05   -0.492303123142818251E+02   -0.404223475168932183E+02
