luminosity_distance KNtimeshift inclination_EM log10_n0 p log10_epsilon_e log10_epsilon_B Ebv log10_E0 thetaCore thetaWing ksiN L0 dL b q ts log_likelihood log_prior
122.90582929491207 0.0783975940410615 0.14133845102014062 -1.0739727764449722 2.393274906635546 -0.025428542150272015 -0.385557050076915 0.1074804108403125 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -17.153383192126082 -11.302752422654613
186.58479628227445 -0.32098653060299664 0.15881723690654298 -1.8981935398824838 2.4071889918914664 -0.2018953070083409 -1.5010414903682343 0.022451075599231943 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -16.765193137406836 -11.019070478935701
141.58868402938532 -1.6066022758572767 0.09693283511921913 -2.796568618136509 2.5332835158426956 -0.0298303716541497 -1.2426501174654268 0.40896572286493815 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -16.223484873730587 -12.723579851068155
101.08573426810067 -0.4917842398230885 0.12255079216574441 -2.9373615157887905 2.2580620815405217 -0.37020096445051864 -1.189231664630935 0.15612968801178 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -16.193829830414362 -11.555086575362095
104.19509573975365 -1.0359236474261273 0.1491096824822101 -1.8601556643071784 2.5870943343141084 -0.43189729176491953 -0.3674225114299494 0.3131120526691584 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -15.877721902905346 -11.833529613939213
113.72298657846171 -1.7787035760266932 0.18661849659566787 -1.0246861624975803 2.399163836683302 -0.14488676080990448 -1.110812999928695 0.2774125615224287 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -15.870677854086974 -11.482254598496437
137.26147648213305 -1.1375036283563997 0.14563972629812014 -1.4053993566453151 2.3265402403740123 -0.29282185881636646 -0.4724618284648332 0.11513699770109664 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -15.833468203389195 -11.289585607667998
142.7876457228103 -1.5883073780034382 0.10857770265673228 -2.1469155375967075 2.517953829993719 -0.08044850286641925 -0.5848796381114623 0.41650304026669316 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -15.488406018061806 -12.657746897545115
170.45468894768652 0.47460174942959155 0.12890344165546969 -1.454901681446911 2.3892399549461367 -0.028243769784916495 -0.4342651147454015 0.1375347664668914 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -15.148567042791234 -11.461113716705071
175.0078535707325 0.13404322988403639 0.1622148192037651 -1.836384505475321 2.459112230567463 -0.29971253718731106 -0.2767488634588844 0.13147016227751096 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -15.110392600685248 -11.219024811730087
154.14973298196566 0.3566441317292135 0.13007378110644485 -1.9536461250836867 2.443417325548209 -0.3012890190123585 -0.6367183270987038 0.10573791702315805 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -15.046046378348791 -11.381556832249405
110.9815561333565 -1.1701521293398627 0.07067244463888682 -2.823096183793018 2.35662999415327 -0.2229176734122129 -1.0957723646442887 0.0705310073726034 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.976977598910683 -11.91688032643257
141.4896244388496 -0.8996212096391085 0.12616996965780533 -2.8601523272743137 2.679707741484449 -0.4966387814790658 -0.36923875907173764 0.13307760211404365 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.96479393517427 -11.47223367084996
177.42270715691092 -1.4646396775231096 0.12674048192821044 -2.487969042946127 2.6941917555497934 -0.29445352499118727 -0.18139184586646495 0.21921672405701953 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.928074961005954 -11.685992579259333
130.17809657958122 0.7231585814561368 0.13362169830589168 -2.793227371233239 2.7121646050381605 -0.551369318000217 -0.3038022855556606 0.08830772999591441 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.791724070722946 -11.318131993271711
134.4597990879805 -0.6310152817812023 0.19116452224499747 -1.742631217215752 2.9823458026114262 -0.23513946035831168 -0.18924977513076646 0.30478910942188137 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.733664669915026 -11.555872243858891
170.47480481881428 -0.5983524754951941 0.1362014530565827 -1.8770542983190506 2.2321429786157143 -0.1295718905745753 -0.8807731183549716 0.15332916531186966 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.685607783080187 -11.443361312284347
163.55901483799332 -0.5328088219084306 0.1033996562076529 -2.971146959787028 2.9966026072890313 -0.1774255153153952 -0.6657238947061281 0.08755648376082004 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.471971145258317 -11.571797337740481
100.34206457649033 -0.5663465067066946 0.1463441417899782 -1.272753256195049 2.228338217551285 -0.2950411518102021 -1.0131036330163874 0.13500125851389821 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.46431939022035 -11.32920838832012
159.47898665071864 -0.7259874686424315 0.10788593894850557 -2.288796071951311 2.630480086309081 -0.0089365264962602 -1.0726343771046374 0.16204679082050813 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.46191870295295 -11.696290442926967
140.74648800867337 -0.38199585502460676 0.18936289137260087 -0.9249459303212211 2.8977889894320024 -0.03685031419782003 -1.1625844686051916 0.3288041315129997 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.449902062646881 -11.659250350700088
157.5476631001061 -0.4866501437652837 0.17735277382722167 -2.2142859338554213 2.8061617629421596 -0.27030856394540637 -0.12429395588738501 0.15941831489117622 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.419298232992986 -11.19614639089473
