# t[days] g
0.01000 20.952 
0.51000 16.683 
1.01000 15.941 
1.51000 15.694 
2.01000 15.507 
2.51000 15.348 
3.01000 15.209 
3.51000 15.085 
4.01000 14.975 
4.51000 14.874 
5.01000 14.783 
5.51000 14.698 
6.01000 14.619 
6.51000 14.546 
7.01000 14.477 
7.51000 14.416 
8.01000 14.363 
8.51000 14.313 
9.01000 14.265 
9.51000 14.219 
10.01000 14.175 
10.51000 14.132 
11.01000 14.092 
11.51000 14.052 
12.01000 14.014 
12.51000 13.978 
13.01000 13.964 
13.51000 13.953 
14.01000 13.943 
14.51000 13.932 
15.01000 13.922 
15.51000 13.911 
16.01000 13.901 
16.51000 13.891 
17.01000 13.881 
17.51000 13.871 
18.01000 13.875 
18.51000 13.901 
19.01000 13.927 
19.51000 13.954 
20.01000 13.981 
