# t[days] g
0.01000 20.002 
0.51000 15.733 
1.01000 14.991 
1.51000 14.747 
2.01000 14.559 
2.51000 14.400 
3.01000 14.260 
3.51000 14.137 
4.01000 14.026 
4.51000 13.926 
5.01000 13.834 
5.51000 13.749 
6.01000 13.670 
6.51000 13.597 
7.01000 13.528 
7.51000 13.467 
8.01000 13.414 
8.51000 13.363 
9.01000 13.314 
9.51000 13.268 
10.01000 13.223 
10.51000 13.180 
11.01000 13.139 
11.51000 13.099 
12.01000 13.061 
12.51000 13.024 
13.01000 13.013 
13.51000 13.002 
14.01000 12.991 
14.51000 12.980 
15.01000 12.970 
15.51000 12.959 
16.01000 12.948 
16.51000 12.938 
17.01000 12.928 
17.51000 12.917 
18.01000 12.929 
18.51000 12.956 
19.01000 12.983 
19.51000 13.011 
20.01000 13.039 
