# t[days] ztfg
0.01000 16.142 
0.51000 11.254 
1.01000 10.917 
1.51000 11.487 
2.01000 12.707 
2.51000 13.847 
3.01000 14.825 
3.51000 15.713 
4.01000 16.434 
4.51000 17.089 
5.01000 17.724 
5.51000 18.263 
6.01000 18.781 
6.51000 19.268 
7.01000 19.740 
7.51000 20.197 
8.01000 20.599 
8.51000 21.001 
9.01000 21.394 
9.51000 21.817 
10.01000 22.159 
10.51000 22.510 
11.01000 22.784 
11.51000 23.073 
12.01000 23.393 
12.51000 23.752 
13.01000 23.919 
13.51000 24.285 
14.01000 24.486 
14.51000 24.817 
15.01000 25.001 
15.51000 25.341 
16.01000 25.475 
16.51000 25.798 
17.01000 26.013 
17.51000 26.437 
18.01000 26.479 
18.51000 26.811 
19.01000 27.108 
19.51000 27.700 
20.01000 27.379 
