Nested Sampling Global Log-Evidence           :   -0.223324937242125294E+02  +/-    0.765794989591166569E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.223324937242125294E+02 +/-    0.765794989591166569E-01
Local Log-Evidence   -0.223324937242125294E+02 +/-    0.765794989591166569E-01

Dim No.       Mean        Sigma
   1    0.913538061384058295E+02    0.362310824338942794E+02
   2    0.392797293608207321E+01    0.733456237329882299E+00
   3   -0.163168885127894514E+00    0.613560765144095743E+00
   4   -0.524589989657812117E+00    0.498543537340823018E+00
   5   -0.166158452918355137E+01    0.185704027104612174E+00
   6   -0.192581489781535486E+01    0.646719573210776888E+00
   7    0.249729025332141280E+00    0.152425258373205641E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.767735733856314368E+02
   2    0.368785753908132552E+01
   3   -0.468359869193200384E+00
   4   -0.761299462344013911E-01
   5   -0.142720339406795693E+01
   6   -0.238143091088784864E+01
   7    0.269389471068052944E+00

MAP Parameters
Dim No.        Parameter
   1    0.767735733856314368E+02
   2    0.368785753908132552E+01
   3   -0.468359869193200384E+00
   4   -0.761299462344013911E-01
   5   -0.142720339406795693E+01
   6   -0.238143091088784864E+01
   7    0.269389471068052944E+00
