luminosity_distance timeshift inclination_EM log10_n0 p log10_epsilon_e log10_epsilon_B log10_E0 thetaCore thetaWing ksiN L0 dL b q ts Ebv log_likelihood log_prior
174.05126800218494 0.2527211613439613 0.11645409637829632 -0.5741383611939272 2.0688699081851003 -0.36714819431202095 -2.3546222741098957 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.230086091953535 -10.485308856607926
158.90917585613713 0.01234457645023157 0.12790298008928494 -0.07164080309881715 2.6304178728013894 -0.38634905563177613 -1.4677211694398986 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.158189219328467 -10.392000755993212
158.51414904202582 0.21789031378683768 0.08508876212607258 -0.21303226103080286 2.226155655035812 -0.5240817260473527 -1.2115349677141314 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.137649560957495 -10.798056749720912
154.8641844517515 0.5351272826753486 0.16212504336861952 1.074798797342714 2.3798212843794233 -0.5950504942078667 -0.6390335046172404 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.124049361583097 -10.156561436831135
160.04328321822717 0.11612352123258804 0.16551904894580324 -0.3635133708950935 2.691866710587618 -0.7599155273348801 -0.9994559285551263 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.098439302681076 -10.136028729538515
157.1805120162447 0.2501444008868656 0.1850727930256328 0.9809004565110842 2.127949436925821 -0.34275109974482687 -2.5754888936297697 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.08795844380361 -10.025510712314436
163.18692564964294 0.8382267475128174 0.15287652189834122 -0.05397140979766846 2.341470777988434 -0.7278819680213928 -2.255240321159363 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.025681520646213 -10.214812442454411
182.88800975856256 0.2976082611695393 0.028472629792288647 -2.387305202583165 2.5564084952414112 -0.8378456863774426 -1.2433437763843664 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.982501891505912 -11.891736598489445
154.75072335070456 0.37755387169642407 0.0784150349197136 -1.5532392030921078 2.389483644431282 -1.0155929720986319 -0.9188684747198135 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.98039597744129 -10.8795540962445
180.4163979896119 0.4525897890735965 0.11068009635258706 0.48660829952635654 2.1725431962614956 -0.12037058489159325 -2.57685123940619 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.97202775543986 -10.535943236893141
160.50133984776332 0.4048641136682739 0.08070910902256791 -1.2160273999305085 2.0429103451972748 -0.6777082463344395 -1.712473465228582 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.88278300246234 -10.850779199244977
176.79274537609376 0.4412524131601714 0.11793515227512857 -0.8840035398240329 2.114564031731323 -0.819723400168956 -1.7275630244371003 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.84592068938096 -10.472729023360092
159.3040357357316 0.6947251195602094 0.07278580056710607 -2.9580958639767805 2.718384256828971 -0.4529351836666575 -2.149940003866987 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.84172794164632 -10.953906976481019
154.25577285896458 0.35897938930737805 0.08079585692174844 -1.6441280122003634 2.849416209285879 -0.8663153790064131 -1.5814295733849661 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.755967793972346 -10.849707290836077
184.21577820894828 0.0924422640467582 0.09256512599894261 -2.149193518520497 2.5071560218000464 -0.2545635074019059 -1.9088406616588784 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.74614979439161 -10.714060744278497
165.8873202034455 0.25686448990313415 0.13127630744734328 -0.20951521456175026 2.2259827327836037 -0.6958494356904388 -2.354514283075897 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.662436410908782 -10.366114324901194
173.06983709335327 0.14304192662239076 0.19014426838153997 0.9331587553024292 2.7175087332725525 -0.3636152744293213 -1.9305691123008728 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.598124044943148 -9.998794742015397
167.31123540079614 0.26631156024073344 0.09979803165786963 0.33291777779555165 2.218309254660358 -0.0685302438577935 -2.8367853397085225 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.58219938526431 -10.639056779761033
161.21621665001527 -0.04829512298722148 0.18180767099137807 1.2500259673008935 2.7881857994703045 -0.15631710204976823 -1.0167941600633439 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.575132107953543 -10.043110459343879
179.50557012260035 0.04313292177694675 0.00892433230903348 -2.829097216636151 2.7073492952303613 -1.117192699744111 -0.10168395926273943 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.57308445909703 -13.051776507832106
176.3791671563671 0.8195550228719459 0.08136607019474437 -1.886939989765697 2.2883371007789712 -0.3661363191224023 -2.204177167111222 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.56529318626138 -10.842690039196253
167.47931064155492 0.09667922358376818 0.05089493131628626 -2.627890811071881 2.2551758337115215 -1.0419846154075185 -1.2737145823717964 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.54487387557081 -11.311213162968702
157.97559234569812 0.09019539185999406 0.025776225563660896 -1.8473203671367102 2.2385204662589078 -1.12839616217392 -0.7790348778553104 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.53279557395912 -11.991202908172452
164.48699761312162 0.0915714440372227 0.12668318418711016 -1.948406030528656 2.6414632867810113 -0.4655076989642106 -1.8105500305202487 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.528644000604917 -10.401531594238396
171.824651235482 0.356506727153052 0.091535102904412 -2.8740803488887723 2.160679781351555 -0.8650003940805435 -0.2334329304839753 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.517586294815032 -10.725219046453152
157.06145180146257 0.0699370519341932 0.09869136624224058 -2.5218852432526235 2.1111225214038942 -0.829631974827985 -0.7834015892895416 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.481016918147635 -10.650171137864774
176.2936611823563 0.00981942186532142 0.09604895927789063 -0.052816726343037246 2.352688697699118 -0.5446924675342348 -1.2155069424662979 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.476963551647707 -10.677224733652247
169.11495979306147 0.3622930810816266 0.11465011257485645 -1.9371081627652758 2.8823333061508816 -1.0426664689658387 -0.6965084273714188 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.44770563155651 -10.500851491616057
159.679876690739 0.025218057376007685 0.10371012437228873 -1.9472915039173964 2.1709246780354574 -0.594259406070293 -1.658957837353079 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.422251451928886 -10.60073828036223
179.15431494974774 -0.07542425757568315 0.08529074798422957 -2.410424286950061 2.2581208793310363 -0.8200466916832894 -0.11899101125642542 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.356456232610743 -10.795691475956804
157.09016352891922 0.5309031486511231 0.09145344488352049 -1.7284612655639648 2.650368630886078 -1.0673123002052307 -1.1495992541313171 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.34793239095188 -10.726109047947029
174.19447629650764 0.5985598789082929 0.16295194829384177 1.665836662104736 2.308033801325721 -0.24354640575564357 -0.5882000935548062 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.346186668062096 -10.151518865766315
177.44096595905293 0.42936946954505295 0.07851105543176531 -1.4719238828207173 2.0982738634154146 -0.9383814132942305 -0.69716918358586 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.345492109118688 -10.878332841137436
169.9586666081014 0.16561515925599293 0.06872563589225988 -2.311429806530969 2.577232711450622 -0.7259784088373249 -1.2665067573039595 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.335533705084593 -11.011209786831106
170.2719480815575 0.7306409529875587 0.15141525728989746 0.8030622557069842 2.637213824603837 -0.5205172177826731 -0.6534905740680315 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.31807609185217 -10.224342657876154
151.7141511981328 0.3523896837420677 0.16533402758136598 0.08806081326629123 2.6435997038320442 -0.44516477850682 -2.4710071284463915 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.306132115805234 -10.137136958830483
161.3403951274775 0.6571452222684266 0.11675405534391421 -1.2403842282213127 2.7982213321251455 -0.9769392484007602 -0.08391966109037563 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.30157321031529 -10.482748067631318
159.4372605573666 0.3119342142409015 0.13041160446406524 -0.7704742759722425 2.231506735701728 -0.5121507693740392 -1.3682367429649744 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.297627635732198 -10.372685250325372
154.98920993786717 0.47713491078985326 0.14687950738381914 0.07250152661846077 2.1175057247722457 -0.058840281758044455 -2.478980232489483 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.278435664627104 -10.254530361896284
150.9282938435674 0.5824675710756271 0.08185049506267515 -1.0836313840202934 2.3029041581191745 -0.720436414524916 -2.0187942766708624 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.272871348985383 -10.83676722856909
165.17328818071212 0.47272338137036307 0.12006058376794805 -1.9582849356836916 2.4570892748382285 -1.1074714885524788 -0.3879460724378534 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.259547289451973 -10.454951846634692
182.2129444024357 0.16331579524614256 0.07129864267699915 -1.926009785476403 2.173926763370728 -1.1411862268807038 -0.847015729318783 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.25697758753627 -10.974514849969873
177.77161615909387 0.8039239786625496 0.06665630031194925 -2.0596376397743885 2.085465796492205 -0.17481067888345558 -2.349389545331441 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.253400210375432 -11.041735797028869
174.90290245676613 0.8345149475682243 0.11116235491471761 -1.1268718800039474 2.196715097742392 -0.8717885520952673 -0.9884965159753403 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.222744523713168 -10.531613318347853
180.23381595969326 0.2607300998324844 0.07791087887734213 -1.3878354992465027 2.7814676937700407 -0.3179849213089292 -2.5540215933705888 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.21592445789337 -10.885991041401034
168.673985752509 0.5709256385293038 0.15301195387702735 0.07683876898082431 2.640178153701814 -0.8397419720955357 -0.7047882498540092 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.206726087944293 -10.213933858642797
151.8860699217422 0.056374399719592405 0.18364506132818995 1.6382512990676394 2.3262859127426925 -0.2778014916105942 -0.9135892195307012 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.204975303716502 -10.033167117857307
155.50904762702837 0.6263756535651187 0.09021776533004734 -2.555978150447665 2.342239575629416 -1.2633945789151424 -0.7750743380291043 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.200212514510802 -10.739675293940467
