Nested Sampling Global Log-Evidence           :   -0.128113520123157087E+02  +/-    0.620709815778709359E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.128113520123157087E+02 +/-    0.620709815778709359E-01
Local Log-Evidence   -0.128113520123157087E+02 +/-    0.620709815778709359E-01

Dim No.       Mean        Sigma
   1    0.168022044081673329E+03    0.957628516649532813E+01
   2    0.238477159903708519E+00    0.285532104909679285E+00
   3    0.157359128023584177E+00    0.184698810671207261E-01
   4   -0.111801061147088365E+01    0.950762446499507474E+00
   5    0.239846325059022725E+01    0.248666453179198360E+00
   6   -0.169950904236225231E+01    0.398763543061619929E+00
   7   -0.158882212751652907E+01    0.815221108645983628E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.169936325003673744E+03
   2   -0.699546410198718382E-01
   3    0.166282869943285616E+00
   4   -0.122801345675565310E+01
   5    0.216651244476748683E+01
   6   -0.100469376758525963E+01
   7   -0.286421948463699261E+01

MAP Parameters
Dim No.        Parameter
   1    0.169936325003673744E+03
   2   -0.699546410198718382E-01
   3    0.166282869943285616E+00
   4   -0.122801345675565310E+01
   5    0.216651244476748683E+01
   6   -0.100469376758525963E+01
   7   -0.286421948463699261E+01
