luminosity_distance beta log10_kappa_r KNtimeshift log10_vej log10_mej Ebv log_likelihood log_prior
130.34733313065155 2.9950684173003723 -0.6858784161339515 -0.5184333043695291 -1.8684673704887078 -2.5262477397172507 0.05648652562432933 -49.15574131248319 -9.056426714706635
150.61118961935006 2.65424357736401 -0.8875990210847114 -1.5746961703390616 -1.803702540550607 -2.7215019962550215 0.43558945758187356 -47.586271576864036 -10.38376871412985
132.20186671354267 4.828415210102979 0.051174116412546544 -1.8178553727106894 -1.9421799495037173 -2.368648485227058 0.31254336665376264 -46.751800980116535 -9.742235712082744
88.17079418463014 3.829891897518275 0.06883596181064933 -1.8918228028175035 -1.9661326180401162 -2.6293464101501116 0.4512485972097499 -46.54328309075415 -10.505324754659698
164.16993227765525 3.244974617514193 -0.9801193553418541 -0.8272267809196703 -1.8861810145779485 -2.160871802354959 0.16017052153018385 -46.07023231605448 -9.280785599941675
94.00532703899182 3.359029881078244 -0.5556451353719921 -1.0739663490939035 -1.796646368131181 -2.661311011926893 0.3648207557785909 -46.060893064576206 -9.966852614181201
47.95426757146853 2.4256254105266652 -0.40943694807750675 -0.45191034613754466 -1.9411777734661144 -2.7544420010989725 0.46121542115345443 -46.02176293592091 -10.591174088046916
121.125379080511 3.988394896767103 -0.7029047744801304 -1.5577444818801247 -1.9734048144039216 -2.009130896901028 0.37071879964268345 -45.88629772039807 -9.99567754615549
138.8552174217602 2.9640732115049744 -0.3831143441267951 -1.9538829322342932 -1.9522661082623125 -2.957052496117973 0.36822309120330704 -45.60431541654514 -9.983378962781629
97.99979946258111 3.6064775455867095 -0.6975955872038828 -1.6783525057389 -1.747100974662738 -2.7640567029130154 0.41012616027437093 -45.441304989676325 -10.213080503965049
183.04516150566107 4.358609414463787 -0.5414724890737435 -1.994817214629955 -1.8908785257816687 -2.1617802461175035 0.03447125787572036 -45.24821197295082 -9.014639679002535
124.7763631722235 4.933099258082731 0.05625893477651478 -1.6125759197537937 -1.857010657201994 -2.7548951441123726 0.2590070254640148 -45.17271918853996 -9.554907868062424
128.4373185824903 3.7762225134680962 -0.5165659001990881 -1.4567932055695552 -1.7477695363216064 -2.8426632719861757 0.2908556960633171 -45.113943491124395 -9.662075960402742
102.09459217891144 4.736017086633664 -0.5494584592917862 -1.6575170340277903 -1.849823366787431 -2.198301092330671 0.4311925789525597 -44.91771005026265 -10.3521359001377
135.251997211149 3.0353746462318068 -0.7657409520026769 -1.7193938739874235 -1.8862269239589897 -2.59197143776967 0.279686770642323 -44.67619642412706 -9.623172390463653
173.1458326014301 3.164981934236365 -0.9778899328970803 -1.643343307829852 -1.858159560982939 -2.360058858618796 0.38023028658043356 -44.66995705978075 -10.043986875151766
