# t[days] ztfg ztfr
0.01000 28.094 27.948 
0.51000 23.825 23.679 
1.01000 23.084 22.937 
1.51000 22.836 22.689 
2.01000 22.649 22.503 
2.51000 22.490 22.343 
3.01000 22.351 22.204 
3.51000 22.228 22.081 
4.01000 22.117 21.970 
4.51000 22.017 21.870 
5.01000 21.925 21.778 
5.51000 21.840 21.693 
6.01000 21.762 21.615 
6.51000 21.688 21.542 
7.01000 21.620 21.473 
7.51000 21.555 21.407 
8.01000 21.495 21.341 
8.51000 21.438 21.278 
9.01000 21.384 21.220 
9.51000 21.332 21.164 
10.01000 21.283 21.111 
10.51000 21.236 21.060 
11.01000 21.191 21.012 
11.51000 21.147 20.966 
12.01000 21.106 20.921 
12.51000 21.065 20.879 
13.01000 21.048 20.859 
13.51000 21.034 20.843 
14.01000 21.020 20.827 
14.51000 21.007 20.811 
15.01000 20.993 20.795 
15.51000 20.980 20.780 
16.01000 20.967 20.765 
16.51000 20.954 20.750 
17.01000 20.941 20.736 
17.51000 20.928 20.721 
18.01000 20.931 20.720 
18.51000 20.957 20.742 
19.01000 20.984 20.764 
19.51000 21.012 20.787 
20.01000 21.041 20.809 
