# t[days] ztfg ztfr
0.01000 27.166 27.022 
0.51000 22.897 22.753 
1.01000 22.155 22.011 
1.51000 21.909 21.765 
2.01000 21.722 21.578 
2.51000 21.563 21.419 
3.01000 21.424 21.279 
3.51000 21.300 21.156 
4.01000 21.190 21.045 
4.51000 21.089 20.945 
5.01000 20.997 20.853 
5.51000 20.912 20.768 
6.01000 20.834 20.690 
6.51000 20.761 20.616 
7.01000 20.692 20.548 
7.51000 20.628 20.481 
8.01000 20.568 20.415 
8.51000 20.511 20.353 
9.01000 20.457 20.294 
9.51000 20.406 20.238 
10.01000 20.357 20.185 
10.51000 20.310 20.134 
11.01000 20.265 20.086 
11.51000 20.222 20.039 
12.01000 20.181 19.995 
12.51000 20.141 19.952 
13.01000 20.125 19.934 
13.51000 20.112 19.918 
14.01000 20.098 19.902 
14.51000 20.085 19.886 
15.01000 20.071 19.871 
15.51000 20.058 19.855 
16.01000 20.045 19.840 
16.51000 20.032 19.825 
17.01000 20.020 19.811 
17.51000 20.007 19.796 
18.01000 20.014 19.799 
18.51000 20.041 19.822 
19.01000 20.069 19.844 
19.51000 20.097 19.868 
20.01000 20.127 19.891 
