# t[days] ztfg ztfr
0.01000 22.555 22.441 
0.51000 18.286 18.172 
1.01000 17.545 17.430 
1.51000 17.301 17.187 
2.01000 17.114 16.999 
2.51000 16.954 16.839 
3.01000 16.815 16.700 
3.51000 16.691 16.576 
4.01000 16.580 16.466 
4.51000 16.480 16.365 
5.01000 16.388 16.273 
5.51000 16.303 16.188 
6.01000 16.224 16.109 
6.51000 16.151 16.036 
7.01000 16.082 15.967 
7.51000 16.021 15.900 
8.01000 15.966 15.833 
8.51000 15.914 15.770 
9.01000 15.864 15.710 
9.51000 15.817 15.653 
10.01000 15.772 15.600 
10.51000 15.728 15.548 
11.01000 15.686 15.500 
11.51000 15.646 15.453 
12.01000 15.607 15.408 
12.51000 15.571 15.367 
13.01000 15.559 15.350 
13.51000 15.548 15.333 
14.01000 15.536 15.317 
14.51000 15.525 15.301 
15.01000 15.514 15.285 
15.51000 15.503 15.269 
16.01000 15.492 15.254 
16.51000 15.481 15.238 
17.01000 15.470 15.223 
17.51000 15.459 15.208 
18.01000 15.474 15.219 
18.51000 15.500 15.241 
19.01000 15.527 15.263 
19.51000 15.555 15.286 
20.01000 15.583 15.310 
