# t[days] ztfg ztfr
0.01000 27.965 27.862 
0.51000 23.696 23.593 
1.01000 22.954 22.851 
1.51000 22.711 22.609 
2.01000 22.524 22.421 
2.51000 22.364 22.261 
3.01000 22.225 22.122 
3.51000 22.101 21.998 
4.01000 21.990 21.887 
4.51000 21.890 21.787 
5.01000 21.797 21.694 
5.51000 21.713 21.610 
6.01000 21.634 21.531 
6.51000 21.560 21.458 
7.01000 21.492 21.389 
7.51000 21.432 21.320 
8.01000 21.380 21.252 
8.51000 21.331 21.188 
9.01000 21.284 21.128 
9.51000 21.238 21.071 
10.01000 21.195 21.016 
10.51000 21.153 20.964 
11.01000 21.113 20.915 
11.51000 21.074 20.868 
12.01000 21.036 20.822 
12.51000 21.003 20.782 
13.01000 20.993 20.764 
13.51000 20.982 20.747 
14.01000 20.972 20.730 
14.51000 20.962 20.714 
15.01000 20.952 20.698 
15.51000 20.942 20.681 
16.01000 20.932 20.666 
16.51000 20.923 20.650 
17.01000 20.913 20.635 
17.51000 20.903 20.619 
18.01000 20.919 20.632 
18.51000 20.945 20.654 
19.01000 20.972 20.677 
19.51000 20.999 20.700 
20.01000 21.027 20.724 
