# t[days] ztfg ztfr
0.01000 21.002 20.943 
0.51000 16.733 16.674 
1.01000 15.991 15.933 
1.51000 15.750 15.692 
2.01000 15.562 15.504 
2.51000 15.402 15.344 
3.01000 15.262 15.204 
3.51000 15.139 15.081 
4.01000 15.028 14.970 
4.51000 14.927 14.869 
5.01000 14.835 14.777 
5.51000 14.750 14.692 
6.01000 14.671 14.613 
6.51000 14.598 14.540 
7.01000 14.529 14.471 
7.51000 14.468 14.400 
8.01000 14.414 14.330 
8.51000 14.363 14.263 
9.01000 14.313 14.201 
9.51000 14.266 14.142 
10.01000 14.221 14.086 
10.51000 14.177 14.032 
11.01000 14.136 13.981 
11.51000 14.096 13.933 
12.01000 14.057 13.886 
12.51000 14.025 13.847 
13.01000 14.013 13.829 
13.51000 14.002 13.811 
14.01000 13.991 13.793 
14.51000 13.979 13.775 
15.01000 13.968 13.758 
15.51000 13.957 13.741 
16.01000 13.946 13.724 
16.51000 13.936 13.708 
17.01000 13.925 13.692 
17.51000 13.915 13.676 
18.01000 13.936 13.692 
18.51000 13.963 13.714 
19.01000 13.990 13.736 
19.51000 14.018 13.758 
20.01000 14.047 13.781 
