# t[days] ztfg ztfr
0.01000 20.301 20.154 
0.51000 16.032 15.885 
1.01000 15.290 15.143 
1.51000 15.044 14.897 
2.01000 14.857 14.710 
2.51000 14.698 14.550 
3.01000 14.559 14.411 
3.51000 14.435 14.288 
4.01000 14.325 14.177 
4.51000 14.224 14.077 
5.01000 14.132 13.985 
5.51000 14.048 13.900 
6.01000 13.969 13.821 
6.51000 13.896 13.748 
7.01000 13.827 13.679 
7.51000 13.763 13.613 
8.01000 13.703 13.547 
8.51000 13.646 13.485 
9.01000 13.592 13.426 
9.51000 13.541 13.370 
10.01000 13.492 13.317 
10.51000 13.445 13.266 
11.01000 13.399 13.218 
11.51000 13.356 13.172 
12.01000 13.315 13.127 
12.51000 13.275 13.085 
13.01000 13.259 13.067 
13.51000 13.245 13.050 
14.01000 13.231 13.034 
14.51000 13.218 13.019 
15.01000 13.204 13.003 
15.51000 13.191 12.988 
16.01000 13.178 12.973 
16.51000 13.165 12.958 
17.01000 13.153 12.943 
17.51000 13.140 12.929 
18.01000 13.146 12.932 
18.51000 13.173 12.954 
19.01000 13.201 12.976 
19.51000 13.230 13.000 
20.01000 13.259 13.023 
