candidate,model,tmax,log_likelihood,log_evidence,log_evidence_err,log_bayes_factor,luminosity_distance,KNphi,inclination_EM,KNtimeshift,log10_mej_dyn,log10_mej_wind,Ebv,log_prior,log10_n0,p,log10_epsilon_e,log10_epsilon_B,log10_E0,thetaCore,thetaWing,ksiN,L0,dL,b,q,ts,supernova_mag_boost
Bu2019lm_0,Bu2019lm,3.0,-1.8399635964838015,-4.449230324227038,0.03842550193566236,-4.449230324227038,3.2959061411821238,30.549275170383382,0.6961233996776071,0.31436348434553807,-2.5797124049146563,-0.8257062665547301,0.39689611799513064,-9.529221703500733,,,,,,,,,,,,,,
Bu2019lm_0,Bu2019lm,5.0,-2.7623341231152643,-5.892160663662546,0.04435170962995932,-5.892160663662546,4.075219013973325,15.447818081958639,0.7203616475361657,0.25347891057109573,-2.3036404946169076,-0.6789351287865157,0.334657661985412,-9.19739218988058,,,,,,,,,,,,,,
Bu2019lm_0,Bu2019lm,7.0,-3.702193437070276,-7.097866775324281,0.04761524149282578,-7.097866775324281,3.648042186240108,34.72332453516134,0.6361704724082435,0.4469659917270974,-2.3104029044222942,-0.8745612680688377,0.5250149823300757,-10.914912493142374,,,,,,,,,,,,,,
Bu2019lm_0,Bu2019lm,9.0,-3.6803910660446526,-7.065270383152891,0.04746804110619896,-7.065270383152891,3.4332030032454086,21.862424161741792,0.044638858957024005,0.2031199488858002,-2.710167879551482,-0.9943360092693032,0.2306818884906212,-11.528040143386432,,,,,,,,,,,,,,
Bu2019lm_0,Bu2019lm,11.0,-4.613380546019849,-8.334442374964507,0.050025593435170206,-8.334442374964507,2.6207726500216566,38.60542889685294,0.5256552270039144,0.4319073105221971,-2.8223678737469036,-1.1474975513029544,0.4509801821802298,-10.142883287224931,,,,,,,,,,,,,,
Bu2019lm_0,Bu2019lm,13.0,-5.533016752780989,-9.385129319507115,0.050454628125196625,-9.385129319507115,3.2311724399867336,18.09328243004942,0.47246344946177815,0.3801685978188192,-2.9972977644040664,-1.0511868674129072,0.05707252663128736,-8.795020408376946,,,,,,,,,,,,,,
Bu2019lm_0,Bu2019lm,15.0,-5.679207897017048,-9.857427883257992,0.05107516671217629,-9.857427883257992,2.7051090289384785,22.352923687620695,0.5822480976469213,0.4321582939420576,-2.9830871440945925,-1.1727158063084713,0.09615962634398272,-8.684634322665023,,,,,,,,,,,,,,
Bu2019lm_0,TrPi2018,3.0,-1.8402186857613616,-5.925896782417061,0.05577910188032903,-5.925896782417061,164.25248061415692,,0.11848715080605476,0.8462849086844031,,,0.3357786965956323,-12.153518070123969,-1.1393965837068374,2.5136530110655437,-0.03576110678814093,-0.13491470970135966,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
Bu2019lm_0,TrPi2018,5.0,-2.765198305471443,-7.18708690218364,0.05883260963792966,-7.18708690218364,100.38641041340573,,0.181163684992397,0.4746864355929006,,,0.062824683846149,-10.964940035191566,0.419194664864587,2.689036007051194,-0.26610244936075667,-1.9940657580213919,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
Bu2019lm_0,TrPi2018,7.0,-3.6864259003508213,-8.4416970463415,0.059734373953582845,-8.4416970463415,177.7129337638388,,0.12072221302889623,0.8759860457236326,,,0.22711684241382596,-11.757015799878422,-0.5975043901618644,2.7792865309197885,-0.11972264987624381,-2.0104597325473095,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
