luminosity_distance timeshift inclination_EM log10_n0 p log10_epsilon_e log10_epsilon_B log10_E0 thetaCore thetaWing ksiN L0 dL b q ts Ebv log_likelihood log_prior
150.3282333503942 -0.02445424294330456 0.17176969135219397 0.6895233524814488 2.2180555863544336 -1.5431916572712 -0.4307840317321343 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -26.99650503370942 -10.099312488148632
171.45554878271184 0.052223971312814366 0.16334211296908108 -0.8230718794455951 2.6654146600201316 -1.3474373798839294 -1.9159264875323065 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -26.729736464392932 -10.149148629320965
163.24511274759067 0.8161319645931315 0.12248671711348605 -2.2660672414765166 2.6825869990510065 -2.020056744878636 -0.1736101141385724 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -26.301504149797374 -10.435043906024534
171.3653849245739 0.36576082767347984 0.13451134128217013 -1.0560338690481357 2.5235887769159557 -1.3443415608694804 -2.2456925794693268 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -25.782209819510644 -10.341913601068836
178.651874373597 0.126580943162763 0.1304549298730587 -2.7004656190276854 2.7056982754501746 -1.5171979347421551 -0.8677233459268239 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -25.55118994768177 -10.372354970825626
157.72496169003034 0.9458321081260145 0.16603088216103662 0.1640880826083606 2.513975613232386 -1.7622937913649905 -1.485580706391365 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -25.443529512016283 -10.132969543931878
177.24063836277773 0.16247879307003063 0.06393296019825892 -2.992648060066632 2.883436323421695 -1.414334380590867 -1.6375708602681698 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -25.10752363569678 -11.083391040025143
157.83319511190888 0.7208882469823782 0.13703525284322565 -0.3686329027235593 2.338348134193802 -2.0247680451775896 -1.068326851935538 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -24.9977449376709 -10.323438272842806
181.68599491062582 -0.0013064067924809242 0.16432197302479068 -1.1575680991371744 2.482032059546877 -1.5294588698324139 -1.6938436424462326 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -24.913398156724536 -10.14322133668966
152.98862977626158 0.5826974351419411 0.10415458182767103 -2.4737124516363354 2.427768394910953 -2.0778378136385642 -1.557713191051749 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -24.863719377693332 -10.596477271807059
157.83870941041715 0.4304598166209742 0.15401185838810363 -0.5454669929322269 2.0671235901923017 -2.101874978617963 -0.5932467845824827 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -24.668719276482847 -10.207471551244547
154.09003577586708 0.31362632329032525 0.13156884179245504 -2.050452720586493 2.1916107568312966 -2.469481060238823 -0.6627510104098358 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -24.641471073020092 -10.363901247605089
171.99550634364869 0.5504787001866301 0.11933282074550113 -2.1812952751876478 2.5045797650915316 -2.276434253389805 -0.8151838699534646 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -24.530877492672808 -10.461002859736219
173.11873258515817 0.7507952668793023 0.152338881225822 0.27912690488830627 2.029496645680596 -1.7587099647562097 -1.9224130065266782 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -24.365702176059653 -10.218308078678577
172.71759688854218 -0.076937735080719 0.128331649540202 -2.466066598892212 2.3554128408432007 -1.380454659461975 -2.17627090215683 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -24.344808538245083 -10.388673166113216
