Nested Sampling Global Log-Evidence           :   -0.105242872467713937E+02  +/-    0.594094511634084693E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.105242872467713937E+02 +/-    0.594094511634084693E-01
Local Log-Evidence   -0.105242872467713937E+02 +/-    0.594094511634084693E-01

Dim No.       Mean        Sigma
   1    0.168428718115258590E+03    0.926347998321913302E+01
   2    0.296313513796939432E+00    0.296873507436194839E+00
   3    0.145518896974797057E+00    0.247492176438900910E-01
   4   -0.490163773902485778E+00    0.112104818053752808E+01
   5    0.247351154086714331E+01    0.248324898807219058E+00
   6   -0.390360484659506346E+00    0.223984792275123717E+00
   7   -0.142495254735776333E+01    0.766542908454052374E+00
   8    0.276033136616107011E+00    0.151318442883835197E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.170674806778785410E+03
   2   -0.981318202829319641E-01
   3    0.180257357468168233E+00
   4   -0.519643238921653428E+00
   5    0.252374199490369788E+01
   6   -0.377203074763416524E+00
   7   -0.347616812222417249E+00
   8    0.194669384733778122E+00

MAP Parameters
Dim No.        Parameter
   1    0.170674806778785410E+03
   2   -0.981318202829319641E-01
   3    0.180257357468168233E+00
   4   -0.519643238921653428E+00
   5    0.252374199490369788E+01
   6   -0.377203074763416524E+00
   7   -0.347616812222417249E+00
   8    0.194669384733778122E+00
