    0.137326609104145774E+03   -0.196156543810553874E+01   -0.664287410812997692E+00    0.136372133272404916E+02    0.515525713013249600E+02   -0.121135536798176808E+02
    0.785613464528311596E+02   -0.154485917849575949E+01   -0.232160853067810535E+00    0.127020118072902193E+02    0.516972658715815001E+02   -0.118634798526480445E+02
    0.111362634003508010E+02   -0.155542444957083692E+01   -0.156612286727161365E+01    0.146870859910111200E+02    0.481431189614835802E+02   -0.116259309175748289E+02
    0.179696564427342821E+03   -0.561033863157980983E+00   -0.774113587451149776E+00    0.139251637771401100E+02    0.518058252077020001E+02   -0.114301843189750567E+02
    0.177096160844454829E+03   -0.447364616318242980E+00   -0.127095238627532581E-01    0.142168544091612077E+02    0.519543241819386452E+02   -0.109271779516797469E+02
    0.585772769206965762E+02   -0.128942169947059604E+01   -0.124465522944308349E+01    0.143871336620517614E+02    0.500272928218130488E+02   -0.108915409425154515E+02
    0.304777665758580918E+01   -0.390525935210577657E+00   -0.882287112132685181E+00    0.135651908052847610E+02    0.474460198444265089E+02   -0.103923155523345141E+02
    0.174762752557822211E+03   -0.240855542165592240E+00   -0.960371618574003882E+00    0.149577674432772589E+02    0.511888286072761431E+02   -0.103537522976644567E+02
    0.705022297601717867E+02   -0.115409609869334195E+01   -0.333652292869167866E+00    0.138616255200779896E+02    0.508523748505646083E+02   -0.103223323078899263E+02
    0.166851991847206449E+03   -0.140552349542967114E+01   -0.498727301261757461E+00    0.149932076882668603E+02    0.510582954959293147E+02   -0.101371479079681759E+02
    0.231986010465831981E+03   -0.471048798972900196E+00   -0.234731782601834027E+00    0.149832386699583626E+02    0.517942120222389946E+02   -0.100402862190909410E+02
    0.192185065936735135E+02   -0.285109493490979249E+00   -0.125949761973649554E+01    0.145172137629426210E+02    0.500536207707955256E+02   -0.990862278041605649E+01
    0.255119034523264254E+02   -0.385435559471245748E+00   -0.173598376186665915E+01    0.144759792710048174E+02    0.492164450954607915E+02   -0.988366613772619118E+01
    0.172871162749545391E+03   -0.115248325087923598E+01   -0.812716264718629233E+00    0.145207268605400710E+02    0.514037052546099531E+02   -0.984989303678130312E+01
    0.102501783354943782E+03   -0.162646895772193156E+00   -0.775149408017467678E+00    0.132399067719988714E+02    0.517100705795870965E+02   -0.982078844314369626E+01
    0.277430725016859503E+01   -0.171396364949422808E+01   -0.499012348395048377E+00    0.145902114109083634E+02    0.480300337819438141E+02   -0.979351041457194071E+01
