Nested Sampling Global Log-Evidence           :   -0.463195759639051943E+02  +/-    0.878733101365871128E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.463195759639051943E+02 +/-    0.878733101365871128E-01
Local Log-Evidence   -0.463195759639051943E+02 +/-    0.878733101365871128E-01

Dim No.       Mean        Sigma
   1    0.152435234749818193E+03    0.204830219408393861E-01
   2   -0.446423638455082789E-01    0.151060127370456854E-03
   3    0.147250457164050441E+00    0.221197497528869242E-04
   4   -0.235052871559224519E+01    0.767800135205916248E-03
   5    0.290738479093990776E+01    0.529956102199116187E-03
   6   -0.941289094942487636E-01    0.169752415425986969E-03
   7   -0.909733252391294045E-01    0.509797662497154451E-03
   8    0.419482686145978945E+00    0.394150096245203063E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.152435213029384613E+03
   2   -0.446425259113311795E-01
   3    0.147250433464815506E+00
   4   -0.235052955150604248E+01
   5    0.290738534927368164E+01
   6   -0.941287279129028320E-01
   7   -0.909728407859802246E-01
   8    0.419483109855651848E+00

MAP Parameters
Dim No.        Parameter
   1    0.152435213029384613E+03
   2   -0.446425259113311795E-01
   3    0.147250433464815506E+00
   4   -0.235052955150604248E+01
   5    0.290738534927368164E+01
   6   -0.941287279129028320E-01
   7   -0.909728407859802246E-01
   8    0.419483109855651848E+00
