Nested Sampling Global Log-Evidence           :   -0.384435920124899866E+02  +/-    0.916282815090337099E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.384435920124899866E+02 +/-    0.916282815090337099E-01
Local Log-Evidence   -0.384435920124899866E+02 +/-    0.916282815090337099E-01

Dim No.       Mean        Sigma
   1    0.400874819155577544E+01    0.472180092238267124E+00
   2    0.455327468138182425E+02    0.405507578175971339E+01
   3    0.584205759634132682E+00    0.139296562105351018E+00
   4    0.690530145481320745E+00    0.154494470031624032E+00
   5   -0.291997363563572954E+01    0.631534859490091027E-01
   6   -0.650600665227508035E+00    0.809785401613629940E-01
   7    0.315521385383167929E+00    0.154101193346386944E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.357189652089076848E+01
   2    0.497232069858407044E+02
   3    0.736237390984637141E+00
   4    0.566530303949750902E+00
   5   -0.299609950946307757E+01
   6   -0.656241938765217636E+00
   7    0.279612212562517781E+00

MAP Parameters
Dim No.        Parameter
   1    0.357189652089076848E+01
   2    0.497232069858407044E+02
   3    0.736237390984637141E+00
   4    0.566530303949750902E+00
   5   -0.299609950946307757E+01
   6   -0.656241938765217636E+00
   7    0.279612212562517781E+00
