# t[days] ztfg
0.01000 27.566 
0.51000 23.297 
1.01000 22.555 
1.51000 22.311 
2.01000 22.123 
2.51000 21.964 
3.01000 21.824 
3.51000 21.701 
4.01000 21.590 
4.51000 21.490 
5.01000 21.398 
5.51000 21.313 
6.01000 21.234 
6.51000 21.161 
7.01000 21.092 
7.51000 21.030 
8.01000 20.973 
8.51000 20.920 
9.01000 20.869 
9.51000 20.820 
10.01000 20.773 
10.51000 20.728 
11.01000 20.685 
11.51000 20.644 
12.01000 20.604 
12.51000 20.566 
13.01000 20.553 
13.51000 20.541 
14.01000 20.529 
14.51000 20.516 
15.01000 20.505 
15.51000 20.493 
16.01000 20.481 
16.51000 20.469 
17.01000 20.458 
17.51000 20.447 
18.01000 20.457 
18.51000 20.484 
19.01000 20.511 
19.51000 20.539 
20.01000 20.568 
