# t[days] ztfg
0.01000 18.619 
0.51000 14.350 
1.01000 13.608 
1.51000 13.367 
2.01000 13.179 
2.51000 13.019 
3.01000 12.879 
3.51000 12.756 
4.01000 12.645 
4.51000 12.544 
5.01000 12.452 
5.51000 12.367 
6.01000 12.288 
6.51000 12.215 
7.01000 12.146 
7.51000 12.085 
8.01000 12.030 
8.51000 11.978 
9.01000 11.929 
9.51000 11.881 
10.01000 11.836 
10.51000 11.792 
11.01000 11.750 
11.51000 11.709 
12.01000 11.670 
12.51000 11.638 
13.01000 11.626 
13.51000 11.614 
14.01000 11.603 
14.51000 11.591 
15.01000 11.580 
15.51000 11.569 
16.01000 11.558 
16.51000 11.547 
17.01000 11.536 
17.51000 11.525 
18.01000 11.546 
18.51000 11.572 
19.01000 11.599 
19.51000 11.627 
20.01000 11.656 
