Nested Sampling Global Log-Evidence           :   -0.114434629325801378E+02  +/-    0.565962947685701989E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.114434629325801378E+02 +/-    0.565962947685701989E-01
Local Log-Evidence   -0.114434629325801378E+02 +/-    0.565962947685701989E-01

Dim No.       Mean        Sigma
   1    0.862004100501347637E+01    0.106636328590567553E+01
   2    0.376467755373869721E+02    0.886925023681674318E+01
   3    0.575050357893031494E+00    0.153208586019194543E+00
   4   -0.141013069426539593E-01    0.593295380267208183E+00
   5   -0.270370003459007480E+01    0.300940712483022788E+00
   6   -0.124003442853440915E+01    0.702116838216803485E+00
   7    0.275329255491178482E+00    0.156343275398627163E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.929310612364472455E+01
   2    0.446354970300191525E+02
   3    0.736623859725249241E+00
   4    0.116545243857717029E+00
   5   -0.279434362141817649E+01
   6   -0.660876595567054359E+00
   7    0.476958187810248624E+00

MAP Parameters
Dim No.        Parameter
   1    0.929310612364472455E+01
   2    0.446354970300191525E+02
   3    0.736623859725249241E+00
   4    0.116545243857717029E+00
   5   -0.279434362141817649E+01
   6   -0.660876595567054359E+00
   7    0.476958187810248624E+00
