# t[days] g r
0.01000 inf inf 
0.51000 21.529 21.471 
1.01000 20.787 20.730 
1.51000 20.542 20.484 
2.01000 20.354 20.297 
2.51000 20.195 20.138 
3.01000 20.056 19.998 
3.51000 19.932 19.875 
4.01000 19.822 19.764 
4.51000 19.721 19.664 
5.01000 19.629 19.572 
5.51000 19.544 19.487 
6.01000 19.466 19.408 
6.51000 19.392 19.335 
7.01000 19.324 19.266 
7.51000 19.263 19.202 
8.01000 19.210 19.143 
8.51000 19.159 19.086 
9.01000 19.111 19.032 
9.51000 19.065 18.981 
10.01000 19.021 18.932 
10.51000 18.978 18.885 
11.01000 18.937 18.841 
11.51000 18.898 18.798 
12.01000 18.860 18.756 
12.51000 18.823 18.716 
13.01000 18.811 18.702 
13.51000 18.801 18.688 
14.01000 18.790 18.674 
14.51000 18.779 18.661 
15.01000 18.769 18.648 
15.51000 18.758 18.635 
16.01000 18.748 18.622 
16.51000 18.738 18.609 
17.01000 18.728 18.596 
17.51000 18.718 18.584 
18.01000 18.727 18.588 
18.51000 18.754 18.605 
19.01000 18.781 18.623 
19.51000 18.808 18.640 
20.01000 18.837 18.659 
