# t[days] g r
0.01000 18.757 18.679 
0.51000 14.488 14.410 
1.01000 13.746 13.668 
1.51000 13.504 13.425 
2.01000 13.316 13.238 
2.51000 13.156 13.078 
3.01000 13.017 12.938 
3.51000 12.893 12.815 
4.01000 12.782 12.704 
4.51000 12.682 12.603 
5.01000 12.590 12.511 
5.51000 12.505 12.426 
6.01000 12.426 12.348 
6.51000 12.353 12.274 
7.01000 12.284 12.206 
7.51000 12.224 12.143 
8.01000 12.171 12.085 
8.51000 12.121 12.031 
9.01000 12.074 inf 
9.51000 12.028 inf 
10.01000 inf inf 
10.51000 inf inf 
11.01000 inf inf 
11.51000 inf inf 
12.01000 inf inf 
12.51000 inf inf 
13.01000 inf inf 
13.51000 inf inf 
14.01000 inf inf 
14.51000 inf inf 
15.01000 inf inf 
15.51000 inf inf 
16.01000 inf inf 
16.51000 inf inf 
17.01000 inf inf 
17.51000 inf inf 
18.01000 inf inf 
18.51000 inf inf 
19.01000 inf inf 
19.51000 inf inf 
20.01000 inf inf 
