Nested Sampling Global Log-Evidence           :   -0.626036738288830907E+01  +/-    0.510851485275211625E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.626036738288830907E+01 +/-    0.510851485275211625E-01
Local Log-Evidence   -0.626036738288830907E+01 +/-    0.510851485275211625E-01

Dim No.       Mean        Sigma
   1    0.145384158282070842E+03    0.269175978094289654E+02
   2   -0.678667955252908683E+00    0.734265972301700209E+00
   3    0.140993524835172329E+00    0.351166554033845515E-01
   4   -0.113724296613799569E+01    0.897221614077839735E+00
   5    0.250336669971663150E+01    0.250413859606761380E+00
   6   -0.413382805891917116E+00    0.250235051252806318E+00
   7   -0.116952385218830357E+01    0.699115631921532144E+00
   8    0.250193864712789760E+00    0.148122064029166112E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.175434005531548735E+03
   2   -0.901399511661119313E+00
   3    0.130679613356071034E+00
   4   -0.287447823970215088E+01
   5    0.299289537311150511E+01
   6   -0.284884185675056134E+00
   7   -0.673150365429703079E+00
   8    0.426912567427466305E+00

MAP Parameters
Dim No.        Parameter
   1    0.116107902981801871E+03
   2    0.307579674404412806E+00
   3    0.577573235545068564E-01
   4   -0.256127307852203989E+01
   5    0.227150639190862691E+01
   6   -0.527674523857491806E+00
   7   -0.175388011606342409E+01
   8    0.301317868113209708E+00
