# t[days] ztfg ztfr
0.01000 25.119 24.998 
0.51000 20.850 20.729 
1.01000 20.108 19.987 
1.51000 19.864 19.744 
2.01000 19.677 19.556 
2.51000 19.517 19.396 
3.01000 19.378 19.257 
3.51000 19.254 19.134 
4.01000 19.144 19.023 
4.51000 19.043 18.922 
5.01000 18.951 18.830 
5.51000 18.866 18.745 
6.01000 18.787 18.667 
6.51000 18.714 18.593 
7.01000 18.645 18.525 
7.51000 18.583 18.458 
8.01000 18.528 18.393 
8.51000 18.475 18.332 
9.01000 18.425 18.275 
9.51000 18.377 18.220 
10.01000 18.331 18.167 
10.51000 18.287 18.118 
11.01000 18.244 18.070 
11.51000 18.203 18.024 
12.01000 18.164 17.980 
12.51000 18.128 17.940 
13.01000 18.116 17.924 
13.51000 18.104 17.908 
14.01000 18.092 17.893 
14.51000 18.080 17.877 
15.01000 18.069 17.862 
15.51000 18.057 17.847 
16.01000 18.046 17.832 
16.51000 18.035 17.818 
17.01000 18.023 17.804 
17.51000 18.012 17.789 
18.01000 18.026 17.799 
18.51000 18.053 17.821 
19.01000 18.080 17.843 
19.51000 18.108 17.866 
20.01000 18.136 17.889 
