# t[days] ztfg ztfr
0.01000 20.800 20.681 
0.51000 16.531 16.412 
1.01000 15.789 15.671 
1.51000 15.546 15.427 
2.01000 15.359 15.240 
2.51000 15.199 15.080 
3.01000 15.059 14.940 
3.51000 14.936 14.817 
4.01000 14.825 14.706 
4.51000 14.724 14.606 
5.01000 14.632 14.514 
5.51000 14.548 14.429 
6.01000 14.469 14.350 
6.51000 14.396 14.277 
7.01000 14.327 14.208 
7.51000 14.265 14.141 
8.01000 14.210 14.076 
8.51000 14.157 14.014 
9.01000 14.107 13.955 
9.51000 14.059 13.900 
10.01000 14.013 13.847 
10.51000 13.969 13.797 
11.01000 13.927 13.749 
11.51000 13.886 13.703 
12.01000 13.847 13.659 
12.51000 13.811 13.618 
13.01000 13.799 13.601 
13.51000 13.787 13.585 
14.01000 13.775 13.570 
14.51000 13.764 13.554 
15.01000 13.752 13.539 
15.51000 13.741 13.523 
16.01000 13.730 13.508 
16.51000 13.719 13.494 
17.01000 13.708 13.479 
17.51000 13.697 13.465 
18.01000 13.711 13.474 
18.51000 13.737 13.496 
19.01000 13.764 13.519 
19.51000 13.792 13.542 
20.01000 13.820 13.565 
