Nested Sampling Global Log-Evidence           :   -0.154811471634583153E+02  +/-    0.719528713970443295E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.154811471634583153E+02 +/-    0.719528713970443295E-01
Local Log-Evidence   -0.154811471634583153E+02 +/-    0.719528713970443295E-01

Dim No.       Mean        Sigma
   1    0.233256584238256472E+02    0.103289673583540278E+02
   2    0.365093775197443415E+01    0.904453560955570501E+00
   3   -0.375025617623253094E+00    0.481058149365486687E+00
   4   -0.124829851773871114E+01    0.513530709728667767E+00
   5   -0.167039968746509127E+01    0.197562214229684813E+00
   6   -0.192892306719567719E+01    0.636355552907044264E+00
   7    0.241313350117924624E+00    0.154706324804687712E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.209320850421251023E+02
   2    0.449823361055827853E+01
   3   -0.954853333520015779E+00
   4   -0.161397910223156460E+01
   5   -0.170868786935808981E+01
   6   -0.662023666862184612E+00
   7    0.533444937029190713E+00

MAP Parameters
Dim No.        Parameter
   1    0.200648790657849716E+02
   2    0.280629362080692513E+01
   3   -0.824854095132888321E+00
   4   -0.174970788171851499E+01
   5   -0.187402460803025739E+01
   6   -0.117279133135799762E+01
   7    0.455585854659811329E+00
