Nested Sampling Global Log-Evidence           :   -0.305616082519083818E+02  +/-    0.722703705826800991E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.305616082519083818E+02 +/-    0.722703705826800991E-01
Local Log-Evidence   -0.305616082519083818E+02 +/-    0.722703705826800991E-01

Dim No.       Mean        Sigma
   1    0.167194007844891473E+03    0.946394340668716971E+01
   2    0.425649414628384348E+00    0.364651841606703941E+00
   3    0.164862027233545205E+00    0.166876047970897223E-01
   4   -0.818340396220262889E+00    0.638095091305265205E+00
   5    0.232214551545969661E+01    0.203010157804274449E+00
   6   -0.919780109056915984E+00    0.307634350917997401E+00
   7   -0.191341014185499270E+01    0.768498095686136917E+00
   8    0.269667804771330288E+00    0.155474705890330550E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.184699904934530167E+03
   2    0.993515515979178754E+00
   3    0.154068611717986220E+00
   4   -0.326912125461318315E+00
   5    0.211565777853864878E+01
   6   -0.640592044371929958E+00
   7   -0.249961438371528999E+01
   8    0.443316937680051815E+00

MAP Parameters
Dim No.        Parameter
   1    0.184699904934530167E+03
   2    0.993515515979178754E+00
   3    0.154068611717986220E+00
   4   -0.326912125461318315E+00
   5    0.211565777853864878E+01
   6   -0.640592044371929958E+00
   7   -0.249961438371528999E+01
   8    0.443316937680051815E+00
