    0.155004447400569916E+03    0.689689844846725575E+00    0.195185941339080682E+00   -0.272233307361602783E+01    0.233289986848831177E+01   -0.289267337322235107E+01   -0.251965928077697754E+01    0.507888003587722778E-01   -0.602795802019882785E+03   -0.693147164665378401E+01    1
    0.166899228990077972E+03    0.827468562126159712E+00    0.185672122307146081E+00   -0.230939161777496338E+01    0.293394798040390015E+01   -0.558507084846496582E+00   -0.287426412105560303E+01    0.458112737703323392E+00   -0.585364830396920070E+03   -0.693244820915376536E+01    1
    0.171188254058361053E+03    0.993289148807525835E+00    0.187901435517452475E+00   -0.258934199810028076E+01    0.279298114776611328E+01   -0.265879851579666138E+01   -0.732594072818756104E+00    0.126618388009071353E+00   -0.560836757615506258E+03   -0.693342477165374582E+01    1
    0.176549883782863617E+03    0.844115805625915594E+00    0.195085009349593885E+00   -0.205783259868621826E+01    0.296672129631042480E+01   -0.929344296455383301E-01   -0.256697827577590942E+01    0.182977960324287425E+00   -0.506010624093917841E+03   -0.693440133415372451E+01    1
    0.170906442701816559E+03    0.791902244091034047E+00    0.178283024978986487E+00   -0.259539842605590820E+01    0.240368700027465820E+01   -0.699047505855560303E+00   -0.234270107746124268E+01    0.426756798505783075E+00   -0.500917460461947542E+03   -0.693537789665375648E+01    1
    0.176161661446094513E+03    0.779897010326385587E+00    0.173015355752286409E+00   -0.289477694034576416E+01    0.222675263881683350E+01   -0.665468037128448486E+00   -0.258825069665908813E+01    0.151962038111686709E+00   -0.480747198597472618E+03   -0.693635445915377691E+01    1
    0.184809385240077972E+03    0.835230487585067793E+00    0.174786736887752758E+00   -0.272810912132263184E+01    0.203869712352752686E+01   -0.184663653373718262E+00   -0.265115064382553101E+01    0.332093490600585961E-01   -0.469134876397990865E+03   -0.693733102165377868E+01    1
    0.178331191241741180E+03    0.709454053640365734E+00    0.194343165238089477E+00   -0.277111530303955078E+01    0.244384431838989258E+01   -0.153090798854827881E+01   -0.110803878307342529E+01    0.117594529652595522E+00   -0.451036858221036709E+03   -0.693830758415374582E+01    1
    0.156091494560241699E+03    0.754390543699264615E+00    0.191235881853878104E+00   -0.272019553184509277E+01    0.238814222812652588E+01   -0.243227058649063110E+01   -0.147807025909423828E+01    0.307546147584915157E-01   -0.448645954308451962E+03   -0.693928414665371829E+01    1
    0.172438752055168152E+03    0.914604198932647772E+00    0.172427705409022664E+00   -0.230649769306182861E+01    0.214277452230453491E+01   -0.235380989313125610E+01   -0.714138507843017578E+00    0.398364152026176477E+00   -0.422798051928452139E+03   -0.694026070915372717E+01    1
    0.151213662624359131E+03    0.657780879735946789E+00    0.177888498168781911E+00   -0.284809577465057373E+01    0.249729067087173462E+01   -0.807728290557861328E+00   -0.237909936904907227E+01    0.347740106034278906E+00   -0.413934904366758758E+03   -0.694123727165374049E+01    1
    0.174373628199100494E+03    0.592140960693359419E+00    0.179773348635493324E+00   -0.287440359592437744E+01    0.248075008392333984E+01   -0.702455699443817139E+00   -0.290709936618804932E+01    0.307354269647598266E+00   -0.413244478674808533E+03   -0.694221383415371740E+01    1
